ssn,name,position,rank,licence,address,mobile,landlineNr,email
3009907461,William Carillo,Pilot,Captain,NAFokkerF100,Fellsmúli 1,8998801,5576301,williamcarillo@nanair.is
2910858778,Virginia Ho,Pilot,Captain,NABAE146,Fellsmúli 2,8998802,5576302,virginiaho@nanair.is
2706838569,Gerard Nelson,Pilot,Captain,NAFokkerF100,Fellsmúli 3,8998803,5576303,gerardnelson@nanair.is
2209955782,Allen Ley,Pilot,Captain,NABAE146,Fellsmúli 4,8998804,5576304,allenley@nanair.is
2907675667,Felecia Moye,Pilot,Captain,NABAE146,Fellsmúli 5,8998805,5576305,feleciamoye@nanair.is
1309797899,Tyler Anderson,Pilot,Captain,NAFokkerF28,Fellsmúli 6,8998806,5576306,tyleranderson@nanair.is
2410876598,Nan Gage,Pilot,Copilot,NAFokkerF100,Fellsmúli 7,8998807,5576307,nangage@nanair.is
2211658134,Charla Johnson,Pilot,Copilot,NABAE146,Fellsmúli 8,8998808,5576308,charlajohnson@nanair.is
2504939263,Sam Preciado,Pilot,Copilot,NABAE146,Fellsmúli 9,8998809,5576309,sampreciado@nanair.is
1900769521,Jasmine Hagadone,Pilot,Copilot,NABAE146,Fellsmúli 10,8998810,5576310,jasminehagadone@nanair.is
2500812671,Anna Phillips,Pilot,Copilot,NAFokkerF28,Fellsmúli 11,8998811,5576311,annaphillips@nanair.is
1309927223,Patricia Bates,Pilot,Copilot,NAFokkerF28,Fellsmúli 12,8998812,5576312,patriciabates@nanair.is
1600904199,Sherry Walker,Cabincrew,Flight Service Manager,N/A,Fellsmúli 13,8998813,5576313,sherrywalker@nanair.is
3037581679,Margarita Fischer,Cabincrew,Flight Service Manager,N/A,Fellsmúli 14,8998814,5576314,margaritafischer@nanair.is
2200763823,Judith Aleshire,Cabincrew,Flight Service Manager,N/A,Fellsmúli 15,8998815,5576315,judithaleshire@nanair.is
1308941169,Jacob Blecha,Cabincrew,Flight Service Manager,N/A,Fellsmúli 16,8998816,5576316,jacobblecha@nanair.is
1405853585,Lula Stefani,Cabincrew,Flight Service Manager,N/A,Fellsmúli 17,8998817,5576317,lulastefani@nanair.is
9098628789,Richard Sanders,Cabincrew,Flight Service Manager,N/A,Fellsmúli 18,8998818,5576318,richardsanders@nanair.is
1811931544,John Kline,Cabincrew,Flight Service Manager,N/A,Fellsmúli 19,8998819,5576319,johnkline@nanair.is
4098587979,Evelyn Pickhardt,Cabincrew,Flight Service Manager,N/A,Fellsmúli 20,8998820,5576320,evelynpickhardt@nanair.is
3002688722,Stacey Henrickson,Cabincrew,Flight Attendant,N/A,Fellsmúli 21,8998821,5576321,staceyhenrickson@nanair.is
3003962187,Delores Whitfield,Cabincrew,Flight Attendant,N/A,Fellsmúli 22,8998822,5576322,deloreswhitfield@nanair.is
1311772221,Maribel Lucero,Cabincrew,Flight Attendant,N/A,Fellsmúli 23,8998823,5576323,maribellucero@nanair.is
2509913418,Katherine Wernimont,Cabincrew,Flight Attendant,N/A,Fellsmúli 24,8998824,5576324,katherinewernimont@nanair.is
1103647756,Wilma Horne,Cabincrew,Flight Attendant,N/A,Fellsmúli 25,8998825,5576325,wilmahorne@nanair.is
2807755841,Bernard Carr,Cabincrew,Flight Attendant,N/A,Fellsmúli 26,8998826,5576326,bernardcarr@nanair.is
4099072129,Sara Davis,Cabincrew,Flight Attendant,N/A,Fellsmúli 27,8998827,5576327,saradavis@nanair.is
1103912131,Robert Swope,Cabincrew,Flight Attendant,N/A,Fellsmúli 28,8998828,5576328,robertswope@nanair.is
2801645554,John Iversen,Cabincrew,Flight Attendant,N/A,Fellsmúli 29,8998829,5576329,johniversen@nanair.is
1501681497,Rhonda Forman,Cabincrew,Flight Attendant,N/A,Fellsmúli 30,8998830,5576330,rhondaforman@nanair.is
1811813379,Melissa Paquette,Cabincrew,Flight Attendant,N/A,Fellsmúli 31,8998831,5576331,melissapaquette@nanair.is
5059429249,Carlton Chan,Cabincrew,Flight Attendant,N/A,Fellsmúli 32,8998832,5576332,carltonchan@nanair.is
1110732819,Arthur Karr,Cabincrew,Flight Attendant,N/A,Fellsmúli 33,8998833,5576333,arthurkarr@nanair.is
2602806942,Teresa Thruman,Cabincrew,Flight Attendant,N/A,Fellsmúli 34,8998834,5576334,teresathruman@nanair.is
1107951952,Elizabeth Mcfadden,Cabincrew,Flight Attendant,N/A,Fellsmúli 35,8998835,5576335,elizabethmcfadden@nanair.is
