ssn,name,role,rank,licence
3009907461,William Carillo,Pilot,Captain,NAFokkerF100
2910858778,Virginia Ho,Pilot,Captain,NABAE146
2706838569,Gerard Nelson,Pilot,Captain,NAFokkerF100
2209955782,Allen Ley,Pilot,Captain,NABAE146
2907675667,Felecia Moye,Pilot,Captain,NABAE146
1309797899,Tyler Anderson,Pilot,Captain,NAFokkerF28
2410876598,Nan Gage,Pilot,Copilot,NAFokkerF100
2211658134,Charla Johnson,Pilot,Copilot,NABAE146
2504939263,Sam Preciado,Pilot,Copilot,NABAE146
1900769521,Jasmine Hagadone,Pilot,Copilot,NABAE146
2500812671,Anna Phillips,Pilot,Copilot,NAFokkerF28
1309927223,Patricia Bates,Pilot,Copilot,NAFokkerF28
1600904199,Sherry Walker,Cabincrew,Flight Service Manager,N/A
0303758167,Margarita Fischer,Cabincrew,Flight Service Manager,N/A
2200763823,Judith Aleshire,Cabincrew,Flight Service Manager,N/A
1308941169,Jacob Blecha,Cabincrew,Flight Service Manager,N/A
1405853585,Lula Stefani,Cabincrew,Flight Service Manager,N/A
0909862878,Richard Sanders,Cabincrew,Flight Service Manager,N/A
1811931544,John Kline,Cabincrew,Flight Service Manager,N/A
0409858797,Evelyn Pickhardt,Cabincrew,Flight Service Manager,N/A
3002688722,Stacey Henrickson,Cabincrew,Flight Attendant,N/A
3003962187,Delores Whitfield,Cabincrew,Flight Attendant,N/A
1311772221,Maribel Lucero,Cabincrew,Flight Attendant,N/A
2509913418,Katherine Wernimont,Cabincrew,Flight Attendant,N/A
1103647756,Wilma Horne,Cabincrew,Flight Attendant,N/A
2807755841,Bernard Carr,Cabincrew,Flight Attendant,N/A
0409907212,Sara Davis,Cabincrew,Flight Attendant,N/A
1103912131,Robert Swope,Cabincrew,Flight Attendant,N/A
2801645554,John Iversen,Cabincrew,Flight Attendant,N/A
1501681497,Rhonda Forman,Cabincrew,Flight Attendant,N/A
1811813379,Melissa Paquette,Cabincrew,Flight Attendant,N/A
0505942924,Carlton Chan,Cabincrew,Flight Attendant,N/A
1110732819,Arthur Karr,Cabincrew,Flight Attendant,N/A
2602806942,Teresa Thruman,Cabincrew,Flight Attendant,N/A
1107951952,Elizabeth Mcfadden,Cabincrew,Flight Attendant,N/A
